causa,nivel,frecuencia,nivel_probabilidad,origen
OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,1,409300.0,1.0,manual
DESCONOCIDO,1,245759.0,0.6,claude
CARIES DENTAL,1,122070.0,1.0,manual
ALTERACIONES DE LA VISION,1,110304.0,1.0,manual
PARTO POR CESÁREA ELECTIVA,2,80050.0,1.0,manual
EMBARAZO CONFIRMADO,1,75148.0,1.0,manual
DESVIACIÓN DEL TABIQUE NASAL,2,74348.0,1.0,manual
"COVID-19, VIRUS IDENTIFICADO",2,72207.0,1.0,manual
CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,2,55556.0,1.0,manual
"PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN",2,47828.0,1.0,manual
EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,1,44472.0,1.0,manual
HIPERTENSIÓN ESENCIAL (PRIMARIA),1,44158.0,1.0,manual
CÁLCULO DEL RIÑÓN,2,40292.0,1.0,manual
MENISCO QUÍSTICO,2,36396.0,1.0,manual
LEIOMIOMA SUBMUCOSO DEL ÚTERO,2,35705.0,1.0,manual
EXAMEN MÉDICO GENERAL,1,35059.0,1.0,manual
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS,1,34025.0,1.0,manual
OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,1,33403.0,1.0,manual
"TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA",2,32745.0,1.0,manual
APENDICITIS AGUDA CON PERITONITIS GENERALIZADA,3,32008.0,1.0,manual
"DIABETES MELLITUS TIPO 2, CON COMA",3,27050.0,1.0,manual
"LEIOMIOMA DEL ÚTERO, SIN OTRA ESPECIFICACIÓN",2,26813.0,1.0,manual
COLECISTITIS AGUDA,2,25112.0,1.0,manual
TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA,3,25066.0,1.0,manual
"TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATÍA",3,24129.0,1.0,manual
ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES,1,23530.0,1.0,manual
"PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE",2,22064.0,1.0,manual
CÁLCULO DEL URÉTER,2,20691.0,1.0,manual
ESGUINCES Y TORCEDURAS DEL TOBILLO,1,19930.0,1.0,manual
"INFECCIÓN DE VÍAS URINARIAS, SITIO NO ESPECIFICADO",1,19822.0,1.0,manual
"NACIDO VIVO, ÚNICO",1,18606.0,1.0,manual
"APENDICITIS AGUDA, NO ESPECIFICADA",2,18181.0,1.0,manual
GASTRITIS AGUDA HEMORRÁGICA,2,17061.0,1.0,manual
INSUFICIENCIA VENOSA (CRÓNICA) (PERIFÉRICA),1,16608.0,1.0,manual
ASTIGMATISMO,1,16601.0,1.0,manual
"HERNIA INGUINAL BILATERAL CON OBSTRUCCIÓN, SIN GANGRENA",2,16450.0,1.0,manual
HIPERPLASIA DE LA PRÓSTATA,1,14944.0,1.0,manual
"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",3,14406.0,1.0,manual
HERNIA UMBILICAL SIN OBSTRUCCIÓN NI GANGRENA,2,14372.0,1.0,manual
LUMBAGO NO ESPECIFICADO,1,13986.0,1.0,manual
CONTUSIÓN DE LA RODILLA,1,13932.0,1.0,manual
DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,1,13845.0,1.0,manual
"PARTO ÚNICO ESPONTÁNEO, SIN OTRA ESPECIFICACIÓN",2,13588.0,1.0,manual
CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER,2,12950.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,2,12837.0,1.0,manual
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,2,12791.0,1.0,manual
OTROS TRASTORNOS DE LOS MENISCOS,2,12686.0,1.0,manual
OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS,2,12573.0,1.0,manual
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES)(PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,1,12478.0,1.0,manual
FRACTURA DE LA RÓTULA,2,12431.0,1.0,manual
HIPERMETROPÍA,1,12402.0,1.0,manual
OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS,1,12398.0,1.0,manual
ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA,2,12063.0,1.0,manual
HEMORROIDES INTERNAS TROMBOSADAS,2,12048.0,1.0,manual
PARTO UNICO POR CESAREA,2,11900.0,1.0,manual
CONSULTA PARA ATENCIÓN Y SUPERVISIÓN DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS,1,11741.0,1.0,manual
"DESGARRO DE MENISCOS, PRESENTE",2,11562.0,1.0,manual
PRUEBA Y AJUSTE DE ANTEOJOS Y LENTES DE CONTACTO,1,11505.0,1.0,manual
MIOPÍA,1,11446.0,1.0,manual
OTROS TRASTORNOS INTERNOS DE LA RODILLA,2,11318.0,1.0,manual
OTROS RECIÉN NACIDOS PRETÉRMINO,3,11200.0,1.0,manual
PRESENCIA DE ANTEOJOS Y LENTES DE CONTACTO,1,11087.0,1.0,manual
OTRAS CONSULTAS ESPECIFICADAS,1,11067.0,1.0,manual
VÁRICES ESCROTALES,2,10681.0,1.0,manual
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",2,10644.0,1.0,manual
"HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA",2,10588.0,1.0,manual
EXAMEN DE LABORATORIO,1,10145.0,1.0,manual
EMBARAZO ABDOMINAL,3,10090.0,1.0,manual
DIENTES INCLUIDOS E IMPACTADOS,2,9933.0,1.0,manual
FRACTURA DE LOS HUESOS DE LA NARIZ,1,9705.0,1.0,manual
"INFECCIÓN DEBIDA A CORONAVIRUS, DE SITIO NO ESPECIFICADO",2,9416.0,1.0,manual
TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA,2,9396.0,1.0,manual
CARDIOMIOPATÍA ISQUÉMICA,3,9274.0,1.0,manual
FRACTURA DE LA CLAVÍCULA,2,9225.0,1.0,manual
LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO,2,9157.0,1.0,manual
INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,3,9012.0,1.0,manual
"CONSULTA, NO ESPECIFICADA",1,8925.0,1.0,manual
OTRAS RINITIS ALÉRGICAS,1,8918.0,1.0,manual
RINITIS VASOMOTORA,1,8910.0,1.0,manual
CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS,2,8769.0,1.0,manual
COLECISTITIS CRÓNICA,2,8768.0,1.0,manual
"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS",2,8708.0,1.0,manual
"GASTRITIS, NO ESPECIFICADA",1,8565.0,1.0,manual
ANGINA INESTABLE,3,8481.0,1.0,manual
OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,8478.0,1.0,manual
OTRAS GASTRITIS AGUDAS,1,8477.0,1.0,manual
CATARATA SENIL INCIPIENTE,2,8469.0,1.0,manual
OTROS TRASTORNOS DE LA REFRACCIÓN,1,8449.0,1.0,manual
"ARTRITIS REUMATOIDE, NO ESPECIFICADA",1,8323.0,1.0,manual
QUISTE FOLICULAR DEL OVARIO,2,8298.0,1.0,manual
"HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA",2,8045.0,1.0,manual
"TRAUMATISMO, NO ESPECIFICADO",1,7840.0,1.0,manual
FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO,2,7840.0,1.0,manual
"RINITIS ALÉRGICA, NO ESPECIFICADA",1,7775.0,1.0,manual
INSUFICIENCIA RENAL TERMINAL,3,7772.0,1.0,manual
"DIABETES MELLITUS NO ESPECIFICADA, CON COMA",3,7746.0,1.0,manual
SUFRIMIENTO MATERNO DURANTE EL TRABAJO DE PARTO Y EL PARTO,2,7520.0,1.0,manual
ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO,3,7502.0,1.0,manual
LEIOMIOMA DEL UTERO,2,7149.0,1.0,manual
FRACTURA DE OTRO DEDO DE LA MANO,1,7085.0,1.0,manual
"TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO",2,7073.0,1.0,manual
AMIGDALITIS CRÓNICA,2,7063.0,1.0,manual
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS,1,7004.0,1.0,manual
"NEUMONÍA, NO ESPECIFICADA",2,6908.0,1.0,manual
"HIPOTIROIDISMO, NO ESPECIFICADO",1,6846.0,1.0,manual
HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA,2,6844.0,1.0,manual
PTERIGIÓN,2,6775.0,1.0,manual
"TRAUMATISMOS SUPERFICIALES MÚLTIPLES, NO ESPECIFICADOS",1,6773.0,1.0,manual
FRACTURA DE LA DIÁFISIS DEL RADIO,2,6755.0,1.0,manual
"DIABETES MELLITUS TIPO 1, CON COMA",3,6744.0,1.0,manual
TRASTORNO INTERNO DE LA RODILLA,2,6740.0,1.0,manual
TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,3,6709.0,1.0,manual
OTRAS GASTRITIS,1,6676.0,1.0,manual
"CATARATA INFANTIL, JUVENIL Y PRESENIL",2,6670.0,1.0,manual
OTRAS LESIONES DEL HOMBRO,2,6509.0,1.0,manual
APENDICITIS AGUDA,2,6405.0,1.0,manual
FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO,2,6344.0,1.0,manual
ASMA PREDOMINANTEMENTE ALÉRGICA,1,6295.0,1.0,manual
OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,6236.0,1.0,manual
PÓLIPO DEL CUERPO DEL ÚTERO,2,6146.0,1.0,manual
ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL,1,6135.0,1.0,manual
SÍNDROME DEL MANGUITO ROTATORIO,2,6134.0,1.0,manual
"TRASTORNOS DEL METABOLISMO DE LAS PROTEÍNAS PLASMÁTICAS, NO CLASIFICADOS EN OTRA PARTE",1,6105.0,1.0,manual
TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA,2,6095.0,1.0,manual
"HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",1,6053.0,1.0,manual
ESCLEROSIS MÚLTIPLE,3,6051.0,1.0,manual
TUMOR MALIGNO DE LA PRÓSTATA,3,6045.0,1.0,manual
"ABSCESO, FURÚNCULO Y CARBUNCO DE LA NARIZ",1,6012.0,1.0,manual
FRACTURA DE LA EPÍFISIS SUPERIOR DEL CÚBITO,2,5972.0,1.0,manual
ENDOMETRIOSIS DEL ÚTERO,2,5932.0,1.0,manual
SÍNDROME DEL COLON IRRITABLE SIN DIARREA,1,5898.0,1.0,manual
LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO,2,5800.0,1.0,manual
"OTRAS NEUMONÍAS, DE MICROORGANISMO NO ESPECIFICADO",2,5685.0,1.0,manual
TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO,3,5660.0,1.0,manual
QUERATOCONO,2,5655.0,1.0,manual
CARCINOMA IN SITU LOBULAR,3,5604.0,1.0,manual
TRAUMATISMO DEL TENDÓN DE AQUILES,2,5472.0,1.0,manual
MIGRAÑA SIN AURA [MIGRAÑA COMÚN],1,5416.0,1.0,manual
