causa,nivel,frecuencia,nivel_probabilidad,origen
DESCONOCIDO,1,245759.0,0.40235109254344636,modelo
TRAUMATISMO SUPERFICIAL DE LA NARIZ,1,1245.0,0.46649410218842463,modelo
CARDIOMIOPATÍA DILATADA,1,1230.0,0.44087774462835105,modelo
MIGRAÑA CON AURA [MIGRAÑA CLÁSICA],2,1227.0,0.42266627026609177,modelo
GASTRITIS CRÓNICA ATRÓFICA,1,1221.0,0.45346081250037495,modelo
"APENDICITIS, NO ESPECIFICADA",1,1217.0,0.4088337612273732,modelo
SÍNDROME DE BUDD-CHIARI,1,1208.0,0.47411172046722294,modelo
"SEPSIS BACTERIANA DEL RECIÉN NACIDO, NO ESPECIFICADA",3,1203.0,0.458375796985117,modelo
ACALASIA DEL CARDIAS,2,1198.0,0.47573436020665627,modelo
PIELONEFRITIS CRÓNICA NO OBSTRUCTIVA ASOCIADA CON REFLUJO,2,1195.0,0.3685132659746295,modelo
OTRAS CIRROSIS DEL HÍGADO Y LAS NO ESPECIFICADAS,1,1170.0,0.39748908312009945,modelo
OTRAS EPILEPSIAS Y SÍNDROMES EPILÉPTICOS GENERALIZADOS,1,1168.0,0.4545369000003501,modelo
CARCINOMA IN SITU DEL ENDOMETRIO,2,1166.0,0.41081998122049285,modelo
RETINOPATÍA DIABÉTICA,1,1161.0,0.44087774462835105,modelo
FIBRILACIÓN Y ALETEO AURICULAR,1,1160.0,0.44087774462835105,modelo
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS GENERALIZADOS,1,1157.0,0.44173855322065636,modelo
LARINGOTRAQUEÍTIS AGUDA,1,1155.0,0.4399293681895331,modelo
MIOPÍA DEGENERATIVA,1,1151.0,0.44087774462835105,modelo
BURSITIS DEL HOMBRO,2,1147.0,0.433445039233925,modelo
LUPUS ERITEMATOSO SISTÉMICO CON COMPROMISO DE ÓRGANOS O SISTEMAS,3,1144.0,0.41753135874567127,modelo
"TRAUMATISMO DE LA PIERNA, NO ESPECIFICADO",3,1141.0,0.4011721493705796,modelo
"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA RODILLA",1,1125.0,0.44606210259902723,modelo
FRACTURAS MÚLTIPLES DE LA PIERNA,2,1124.0,0.4745786373152253,modelo
TRAUMATISMO SUPERFICIAL DE LA CABEZA,1,1121.0,0.4788833580163696,modelo
OTRAS ARTRITIS REUMATOIDES ESPECIFICADAS,1,1121.0,0.3953510483282511,modelo
ESPONDILOLISTESIS,1,1110.0,0.44087774462835105,modelo
"TESTÍCULO NO DESCENDIDO, SIN OTRA ESPECIFICACIÓN",1,1105.0,0.44420406151216796,modelo
CELULITIS DE OTROS SITIOS,1,1087.0,0.4847426789766393,modelo
SÍNDROME DE FELTY,1,1079.0,0.47411172046722294,modelo
PIGMENTACIONES Y DEPÓSITOS EN LA CÓRNEA,1,1076.0,0.4219917873564764,modelo
LITIASIS URINARIA EN ESQUISTOSOMIASIS [BILHARZIASIS],2,1058.0,0.38149025042467977,modelo
OTRAS OBSTRUCCIONES DEL INTESTINO,3,1054.0,0.39750347795854596,modelo
OTROS TRAUMATISMOS ESPECIFICADOS DEL HOMBRO Y DEL BRAZO,1,1051.0,0.3887431098557465,modelo
"INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION",1,1049.0,0.44962052351109927,modelo
"FIBRILACIÓN Y ALETEO AURICULAR, NO ESPECIFICADO",1,1044.0,0.41610052739449616,modelo
"TRASTORNO DE DISCO CERVICAL, NO ESPECIFICADO",2,1043.0,0.425738281789646,modelo
"TESTÍCULO NO DESCENDIDO, UNILATERAL",1,1039.0,0.3853963149942213,modelo
HEMORROIDES EXTERNAS TROMBOSADAS,2,1008.0,0.4444605761789087,modelo
ÍLEO PARALÍTICO,1,1007.0,0.44087774462835105,modelo
CONDROMALACIA,1,1007.0,0.44087774462835105,modelo
DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPERIOR,2,1005.0,0.37155542238416134,modelo
RETINOPATÍAS DEL FONDO Y CAMBIOS VASCULARES RETINIANOS,2,994.0,0.47573436020665627,modelo
ENTERITIS DEBIDA A SALMONELLA,1,992.0,0.48831311005873096,modelo
PÓLIPO RECTAL,1,983.0,0.4597472742441929,modelo
CARCINOMA IN SITU DE LA GLÁNDULA TIROIDES Y DE OTRAS GLÁNDULAS ENDOCRINAS,1,980.0,0.4013351755862712,modelo
FISURA ANAL CRÓNICA,1,976.0,0.447318010648214,modelo
PESO EXTREMADAMENTE BAJO AL NACER,2,976.0,0.3772111147595936,modelo
CÁLCULO EN LA VEJIGA,2,976.0,0.3863368311167143,modelo
PÚRPURA TROMBOCITOPÉNICA IDIOPÁTICA,1,975.0,0.43198577945678385,modelo
"SÍNDROME DE DOWN, NO ESPECIFICADO",1,971.0,0.49793477400892416,modelo
