causa_original,causa_corregida,tipo_correccion,similitud,frecuencia,anios,num_anios
OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,sin_cambio,1.0,357205,"2021,2022,2023,2024",4
DESCONOCIDO,DESCONOCIDO,sin_cambio,1.0,245759,"2020,2021,2022,2023,2024",5
CARIES DENTAL,CARIES DENTAL,sin_cambio,1.0,122070,"2020,2021,2022,2023,2024",5
ALTERACIONES DE LA VISION,ALTERACIONES DE LA VISION,sin_cambio,1.0,110304,"2020,2021,2022,2023,2024",5
EMBARAZO CONFIRMADO,EMBARAZO CONFIRMADO,sin_cambio,1.0,75148,"2020,2021,2022,2023,2024",5
PARTO POR CESÁREA ELECTIVA,PARTO POR CESÁREA ELECTIVA,sin_cambio,1.0,66835,"2021,2022,2023,2024",4
DESVIACIÓN DEL TABIQUE NASAL,DESVIACIÓN DEL TABIQUE NASAL,sin_cambio,1.0,64458,"2021,2022,2023,2024",4
"COVID-19, VIRUS IDENTIFICADO","COVID-19, VIRUS IDENTIFICADO",sin_cambio,1.0,59435,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIE,OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,truncado,0.9259,52095,2020,1
CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,sin_cambio,1.0,46462,"2021,2022,2023,2024",4
EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,sin_cambio,1.0,42071,"2021,2022,2023,2024",4
"PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN","PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,37773,"2021,2022,2023,2024",4
HIPERTENSIÓN ESENCIAL (PRIMARIA),HIPERTENSIÓN ESENCIAL (PRIMARIA),sin_cambio,1.0,36118,"2021,2022,2023,2024",4
CÁLCULO DEL RIÑÓN,CÁLCULO DEL RIÑÓN,sin_cambio,1.0,34123,"2021,2022,2023,2024",4
OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,sin_cambio,1.0,33403,"2021,2022,2023,2024",4
"TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA","TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA",sin_cambio,1.0,32745,"2021,2022,2023,2024",4
APENDICITIS AGUDA CON PERITONITIS GENERALIZADA,APENDICITIS AGUDA CON PERITONITIS GENERALIZADA,sin_cambio,1.0,32008,"2020,2021,2022,2023,2024",5
EXAMEN MÉDICO GENERAL,EXAMEN MÉDICO GENERAL,sin_cambio,1.0,31758,"2021,2022,2023,2024",4
LEIOMIOMA SUBMUCOSO DEL ÚTERO,LEIOMIOMA SUBMUCOSO DEL ÚTERO,sin_cambio,1.0,31105,"2021,2022,2023,2024",4
MENISCO QUÍSTICO,MENISCO QUÍSTICO,sin_cambio,1.0,30752,"2021,2022,2023,2024",4
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS,ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS,sin_cambio,1.0,28596,"2021,2022,2023,2024",4
"DIABETES MELLITUS TIPO 2, CON COMA","DIABETES MELLITUS TIPO 2, CON COMA",sin_cambio,1.0,27050,"2021,2022,2023,2024",4
COLECISTITIS AGUDA,COLECISTITIS AGUDA,sin_cambio,1.0,25112,"2020,2021,2022,2023,2024",5
"LEIOMIOMA DEL ÚTERO, SIN OTRA ESPECIFICACIÓN","LEIOMIOMA DEL ÚTERO, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,24053,"2021,2022,2023,2024",4
TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA,TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA,sin_cambio,1.0,22024,"2021,2022,2023,2024",4
"TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATÍA","TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATÍA",sin_cambio,1.0,20665,"2021,2022,2023,2024",4
ESGUINCES Y TORCEDURAS DEL TOBILLO,ESGUINCES Y TORCEDURAS DEL TOBILLO,sin_cambio,1.0,19930,"2020,2021,2022,2023,2024",5
ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES,ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES,sin_cambio,1.0,19346,"2021,2022,2023,2024",4
"APENDICITIS AGUDA, NO ESPECIFICADA","APENDICITIS AGUDA, NO ESPECIFICADA",sin_cambio,1.0,18181,"2020,2021,2022,2023,2024",5
CÁLCULO DEL URÉTER,CÁLCULO DEL URÉTER,sin_cambio,1.0,17842,"2021,2022,2023,2024",4
