causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES,1,Patología dental que requiere atención odontológica ambulatoria sin hospitalización,K03,alta,409300.0,8.6841,top_500
CARIES DENTAL,1,Enfermedad dental de manejo ambulatorio con tratamientos odontológicos conservadores o restaurativos,K02,alta,122070.0,2.59,top_500
ALTERACIONES DE LA VISION,1,Trastornos refractivos o visuales que requieren evaluación oftalmológica ambulatoria y corrección con lentes o tratamiento menor,H53,alta,110304.0,2.3403,top_500
PARTO POR CESÁREA ELECTIVA,2,Cirugía obstétrica programada con hospitalización típica de 2-4 días,O82.0,alta,80050.0,1.6984,top_500
EMBARAZO CONFIRMADO,1,Diagnóstico confirmatorio que requiere consulta prenatal ambulatoria sin intervención,Z32.1,alta,75148.0,1.5944,top_500
DESVIACIÓN DEL TABIQUE NASAL,2,Condición que frecuentemente requiere septoplastia quirúrgica programada con hospitalización breve,J34.2,alta,74348.0,1.5774,top_500
"COVID-19, VIRUS IDENTIFICADO",2,"Infección que puede requerir hospitalización según severidad, clasificación media por espectro variable de presentación",U07.1,media,72207.0,1.532,top_500
CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,2,Urgencia quirúrgica que requiere colecistectomía con hospitalización de 2-4 días,K80.0,alta,55556.0,1.1787,top_500
"PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN",2,Cirugía obstétrica con hospitalización estándar de 2-4 días,O82.9,alta,47828.0,1.0148,top_500
EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO,1,Examen preventivo o chequeo médico general realizado de forma ambulatoria,Z00.0,alta,44472.0,0.9436,top_500
HIPERTENSIÓN ESENCIAL (PRIMARIA),1,Enfermedad crónica de manejo ambulatorio con seguimiento y tratamiento farmacológico,I10,alta,44158.0,0.9369,top_500
CÁLCULO DEL RIÑÓN,2,Litiasis renal que puede requerir procedimientos urológicos mínimamente invasivos o cirugía con hospitalización breve,N20.0,alta,40292.0,0.8549,top_500
MENISCO QUÍSTICO,2,Patología de rodilla que requiere artroscopia programada con hospitalización menor a 24 horas o ambulatoria,M23.0,alta,36396.0,0.7722,top_500
LEIOMIOMA SUBMUCOSO DEL ÚTERO,2,Mioma uterino que frecuentemente requiere resección quirúrgica programada vía histeroscópica o laparoscópica,D25.0,alta,35705.0,0.7576,top_500
EXAMEN MÉDICO GENERAL,1,Consulta preventiva o de valoración inicial realizada de manera ambulatoria,Z00.0,alta,35059.0,0.7438,top_500
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS,1,"Patología digestiva de manejo ambulatorio con tratamiento médico, estudios endoscópicos pueden ser ambulatorios",K21.0,alta,34025.0,0.7219,top_500
OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,1,Cuadro gastrointestinal agudo generalmente de manejo ambulatorio con hidratación y tratamiento sintomático,A09,alta,33403.0,0.7087,top_500
"TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATÍA",2,Hernia discal que puede requerir cirugía de columna programada con hospitalización de 2-5 días,M51.1,alta,32745.0,0.6948,top_500
APENDICITIS AGUDA CON PERITONITIS GENERALIZADA,3,"Emergencia quirúrgica abdominal grave que requiere apendicectomía urgente, UCI y hospitalización prolongada por complicación séptica",K35.2,alta,32008.0,0.6791,top_500
"DIABETES MELLITUS TIPO 2, CON COMA",3,Emergencia endocrinológica grave que requiere manejo en UCI por descompensación metabólica severa,E11.0,alta,27050.0,0.5739,top_500
"LEIOMIOMA DEL ÚTERO, SIN OTRA ESPECIFICACIÓN",2,Tumor benigno uterino que frecuentemente requiere miomectomía o histerectomía programada,D25.9,alta,26813.0,0.5689,top_500
COLECISTITIS AGUDA,2,Inflamación vesicular aguda que requiere colecistectomía con hospitalización de 2-4 días,K81.0,alta,25112.0,0.5328,top_500
TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA,3,"Cáncer de mama que requiere tratamiento oncológico complejo con cirugía, quimioterapia y radioterapia",C50.0,alta,25066.0,0.5318,top_500
"TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATÍA",3,Compresión medular que requiere cirugía urgente de columna con hospitalización prolongada y manejo neurológico especializado,M51.0,alta,24129.0,0.5119,top_500
ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES,1,Patología endodóntica dental de manejo odontológico ambulatorio con tratamiento de conductos o extracción,K04,alta,23530.0,0.4992,top_500
"PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE",2,Parto vaginal normal que requiere hospitalización obstétrica de 1-2 días,O80.0,alta,22064.0,0.4681,top_500
CÁLCULO DEL URÉTER,2,Litiasis ureteral que puede requerir ureteroscopia o litotricia con hospitalización breve,N20.1,alta,20691.0,0.439,top_500
ESGUINCES Y TORCEDURAS DEL TOBILLO,1,Lesión musculoesquelética de manejo ambulatorio con inmovilización y rehabilitación,S93.4,alta,19930.0,0.4229,top_500
"INFECCIÓN DE VÍAS URINARIAS, SITIO NO ESPECIFICADO",1,Infección urinaria generalmente de manejo ambulatorio con antibióticos orales,N39.0,alta,19822.0,0.4206,top_500
"NACIDO VIVO, ÚNICO",1,Recién nacido sano producto de parto sin complicaciones que requiere observación hospitalaria rutinaria de 1-2 días,Z38.0,alta,18606.0,0.3948,top_500
"APENDICITIS AGUDA, NO ESPECIFICADA",2,Urgencia quirúrgica abdominal que requiere apendicectomía con hospitalización de 2-3 días,K35.9,alta,18181.0,0.3857,top_500
GASTRITIS AGUDA HEMORRÁGICA,2,Sangrado digestivo alto que requiere hospitalización para endoscopia urgente y manejo hemodinámico,K29.0,alta,17061.0,0.362,top_500
INSUFICIENCIA VENOSA (CRÓNICA) (PERIFÉRICA),1,"Enfermedad vascular crónica de manejo ambulatorio con medias de compresión y seguimiento, cirugía programada si requiere",I87.2,alta,16608.0,0.3524,top_500
ASTIGMATISMO,1,Defecto refractivo que requiere consulta oftalmológica ambulatoria y corrección con lentes,H52.2,alta,16601.0,0.3522,top_500
"HERNIA INGUINAL BILATERAL CON OBSTRUCCIÓN, SIN GANGRENA",2,Hernia complicada que requiere cirugía urgente bilateral con hospitalización de 2-4 días,K40.3,alta,16450.0,0.349,top_500
HIPERPLASIA DE LA PRÓSTATA,1,"Condición urológica benigna de manejo ambulatorio, cirugía programada si indicada (RTU) con hospitalización breve",N40,media,14944.0,0.3171,top_500
"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",3,"Cáncer de mama que requiere tratamiento oncológico complejo con cirugía, quimioterapia y radioterapia",C50.9,alta,14406.0,0.3057,top_500
HERNIA UMBILICAL SIN OBSTRUCCIÓN NI GANGRENA,2,Hernia no complicada que requiere hernioplastia programada con hospitalización de 1-2 días,K42.9,alta,14372.0,0.3049,top_500
LUMBAGO NO ESPECIFICADO,1,"Dolor lumbar de manejo ambulatorio con analgésicos, fisioterapia y medidas conservadoras",M54.5,alta,13986.0,0.2967,top_500
CONTUSIÓN DE LA RODILLA,1,Traumatismo cerrado de manejo ambulatorio con analgesia y reposo,S80.0,alta,13932.0,0.2956,top_500
DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,1,Cuadro gastrointestinal agudo generalmente de manejo ambulatorio con hidratación oral,A09,alta,13845.0,0.2938,top_500
"PARTO ÚNICO ESPONTÁNEO, SIN OTRA ESPECIFICACIÓN",2,Parto vaginal que requiere hospitalización obstétrica de 1-2 días,O80.9,alta,13588.0,0.2883,top_500
CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER,2,Litiasis renal y ureteral que puede requerir ureteroscopia o nefrolitotomía con hospitalización breve,N20.2,alta,12950.0,0.2748,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,2,Masa ovárica que requiere cirugía ginecológica programada con estudio histopatológico y hospitalización,D39.1,alta,12837.0,0.2724,top_500
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,2,Lesión mamaria que requiere biopsia excisional o resección quirúrgica programada para diagnóstico definitivo,D48.6,alta,12791.0,0.2714,top_500
OTROS TRASTORNOS DE LOS MENISCOS,2,Lesión meniscal que requiere artroscopia de rodilla programada con hospitalización menor a 24 horas,M23.8,alta,12686.0,0.2692,top_500
OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS,2,Quiste ovárico que puede requerir cistectomía laparoscópica programada con hospitalización de 1-2 días,N83.2,alta,12573.0,0.2668,top_500
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES)(PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,1,"Epilepsia focal de manejo neurológico ambulatorio con anticonvulsivantes, hospitalización solo en crisis refractarias",G40.0,media,12478.0,0.2647,top_500
FRACTURA DE LA RÓTULA,2,Fractura que frecuentemente requiere reducción quirúrgica abierta con osteosíntesis y hospitalización de 2-4 días,S82.0,alta,12431.0,0.2637,top_500
HIPERMETROPÍA,1,Defecto refractivo que requiere consulta oftalmológica ambulatoria y corrección con lentes,H52.0,alta,12402.0,0.2631,top_500
