causa,frecuencia,monto_total,pct_cobertura,pct_acumulado,rango
"TRASTORNO DE LOS DISCOS INTERVERTEBRALES, NO ESPECIFICADO",1246,179288148.71,0.0264,81.2407,501
TRAUMATISMO SUPERFICIAL DE LA NARIZ,1245,23855805.42,0.0264,81.2671,502
FRACTURA DE LA DIÁFISIS DEL CÚBITO,1242,60641340.5,0.0264,81.2935,503
INFARTO CEREBRAL DEBIDO A TROMBOSIS DE ARTERIAS PRECEREBRALES,1239,99031674.54,0.0263,81.3198,504
CARDIOMIOPATÍA DILATADA,1230,75028668.5,0.0261,81.3459,505
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA TRÁQUEA, DE LOS BRONQUIOS Y DEL PULMÓN",1230,239597033.38,0.0261,81.372,506
TUMOR MALIGNO DEL BRONQUIO PRINCIPAL,1228,257599708.92,0.0261,81.3981,507
MIGRAÑA CON AURA [MIGRAÑA CLÁSICA],1227,32698848.490000002,0.026,81.4241,508
GASTRITIS CRÓNICA ATRÓFICA,1221,29524657.41,0.0259,81.45,509
ACNÉ VULGAR,1220,6277355.18,0.0259,81.4759,510
"APENDICITIS, NO ESPECIFICADA",1217,67940246.4,0.0258,81.5017,511
"DISPLASIA DEL CUELLO DEL ÚTERO, NO ESPECIFICADA",1212,36215492.8,0.0257,81.5274,512
"ABORTO NO ESPECIFICADO INCOMPLETO, COMPLICADO CON INFECCIÓN GENITAL Y PELVIANA",1210,32843658.57,0.0257,81.5531,513
SÍNDROME DE BUDD-CHIARI,1208,86309044.68,0.0256,81.5787,514
EMBOLIA PULMONAR CON MENCIÓN DE CORAZÓN PULMONAR AGUDO,1205,117204468.08,0.0256,81.6043,515
"SEPSIS BACTERIANA DEL RECIÉN NACIDO, NO ESPECIFICADA",1203,130442455.92,0.0255,81.6298,516
ACALASIA DEL CARDIAS,1198,73305553.73,0.0254,81.6552,517
PIELONEFRITIS CRÓNICA NO OBSTRUCTIVA ASOCIADA CON REFLUJO,1195,41315933.72,0.0254,81.6806,518
"HEMANGIOMA, DE CUALQUIER SITIO",1186,101921633.47,0.0252,81.7058,519
"ORQUITIS, EPIDIDIMITIS Y ORQUIEPIDIDIMITIS CON ABSCESO",1182,34828927.81,0.0251,81.7309,520
OTROS DESPRENDIMIENTOS DE LA RETINA,1181,45757062.5,0.0251,81.756,521
"TORSIÓN DE OVARIO, PEDÍCULO DE OVARIO Y TROMPA DE FALOPIO",1177,58414915.41,0.025,81.781,522
OTRAS CIRROSIS DEL HÍGADO Y LAS NO ESPECIFICADAS,1170,138302015.14,0.0248,81.8058,523
CONTUSIÓN DE LA CADERA,1170,71404755.39,0.0248,81.8306,524
OTRAS EPILEPSIAS Y SÍNDROMES EPILÉPTICOS GENERALIZADOS,1168,54865492.19,0.0248,81.8554,525
CARCINOMA IN SITU DEL ENDOMETRIO,1166,100953326.49,0.0247,81.8801,526
RETINOPATÍA DIABÉTICA,1161,48418168.0,0.0246,81.9047,527
FIBRILACIÓN Y ALETEO AURICULAR,1160,152841870.72,0.0246,81.9293,528
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS GENERALIZADOS,1157,40412348.68,0.0245,81.9538,529
LARINGOTRAQUEÍTIS AGUDA,1155,32372266.31,0.0245,81.9783,530
"ANEURISMA CEREBRAL, SIN RUPTURA",1155,255878574.16,0.0245,82.0028,531
ARTROSIS PRIMARIA DE OTRAS ARTICULACIONES,1154,79709017.98,0.0245,82.0273,532
MIOPÍA DEGENERATIVA,1151,8208436.53,0.0244,82.0517,533
"ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA [VIH], SIN OTRA ESPECIFICACIÓN",1148,87565566.71,0.0244,82.0761,534
BURSITIS DEL HOMBRO,1147,48577366.02,0.0243,82.1004,535
LUPUS ERITEMATOSO SISTÉMICO CON COMPROMISO DE ÓRGANOS O SISTEMAS,1144,102143826.79,0.0243,82.1247,536
"TRAUMATISMO DE LA PIERNA, NO ESPECIFICADO",1141,67007998.01,0.0242,82.1489,537
"AMIGDALITIS AGUDA, NO ESPECIFICADA",1140,38307510.39,0.0242,82.1731,538
TUMOR MALIGNO DE LA PORCIÓN CENTRAL DE LA MAMA,1138,117209582.47,0.0241,82.1972,539
"FRACTURA DEL PIE, NO ESPECIFICADA",1131,59574393.74,0.024,82.2212,540
ABSCESO ANORRECTAL,1127,42954915.87,0.0239,82.2451,541
"LUXACION, ESGUINCE Y TORCEDURA DE ARTICULACIONES Y LIGAMENTOS DE LA RODILLA",1125,76211850.13,0.0239,82.269,542
TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTÁNEO DE MIEMBROS,1124,33351412.91,0.0238,82.2928,543
FRACTURAS MÚLTIPLES DE LA PIERNA,1124,124328891.84,0.0238,82.3166,544
FRACTURA DEL MALÉOLO INTERNO,1121,72127895.42999999,0.0238,82.3404,545
TRAUMATISMO SUPERFICIAL DE LA CABEZA,1121,37304776.38,0.0238,82.3642,546
OTRAS ARTRITIS REUMATOIDES ESPECIFICADAS,1121,47840160.85,0.0238,82.388,547
ESPONDILOLISTESIS,1110,175995964.33,0.0236,82.4116,548
