causa,frecuencia,monto_total,pct_cobertura,pct_acumulado,rango,origen
"EFECTOS ADVERSOS DE OTRAS DROGAS PSICOTROPICAS, NO",1,78118.0,0.0,99.9623,8620,sample_1000
POLINEUROPATÍA EN DEFICIENCIA NUTRICIONAL,1,44722.36,0.0,99.9623,9350,sample_1000
EXAMEN DURANTE EL PERIODO DE CRECIMIENTO RAPIDO EN,1,83328.0,0.0,99.9623,9114,sample_1000
SEPSIS LISTERIANA,1,465089.04,0.0,99.9623,9219,sample_1000
CONDUCTOR DE VEHICULO PARA TODO TERRENO O DE OTRO,1,674689.1,0.0,99.9623,9295,sample_1000
TRASTORNO DE ANSIEDAD DE SEPARACIÓN EN LA NIÑEZ,1,11302.9,0.0,99.9623,8999,sample_1000
MIOCARDITIS EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,1,44412.63,0.0,99.9623,9245,sample_1000
PIEDRA BLANCA,1,1563.75,0.0,99.9623,9345,sample_1000
"NEFROPATÍA HEREDITARIA, NCOP, NO ESPECIFICADA",1,10369.51,0.0,99.9623,8911,sample_1000
TRASTORNOS TÓXICOS NEUROMUSCULARES,1,112583.07,0.0,99.9623,8595,sample_1000
PROBLEMAS RELACIONADOS CON LA RUPTURA FAMILIAR POR SEPARACIÓN O DIVORCIO,1,2400.0,0.0,99.9623,8630,sample_1000
OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISION CON VEHICULO DE PEDAL,1,19978.49,0.0,99.9623,8702,sample_1000
HIPERQUILOMICRONEMIA,1,3227.82,0.0,99.9623,8480,sample_1000
CICLISTA [CUALQUIERA] LESIONADO EN OTROS ACCIDENTES DE TRANSPORTE ESPECIFICADOS,1,-7663.64,0.0,99.9623,8885,sample_1000
ENVENENAMIENTO POR AGENTES QUE AFECTAN PRINCIPALMENTE EL SISTEMA GASTROINTESTINAL: ANTAGONISTAS DEL RECEPTOR H2 DE HISTAMINA,1,12329.23,0.0,99.9623,9269,sample_1000
DEFICIENCIA VISUAL NO ESPECIFICADA (BINOCULAR),1,800.0,0.0,99.9623,8497,sample_1000
ANEMIA POR DEFICIENCIA DE VITAMINA B12 DEBIDA A MALA ABSORCIÓN SELECTIVA DE VITAMINA B12 CON PROTEINURIA,1,0.0,0.0,99.9623,8832,sample_1000
HISTORIA PERSONAL DE OTRAS ENFERMEDADES Y AFECCIONES,1,5000.0,0.0,99.9623,8636,sample_1000
"PRIVACIÓN DE AGUA, VIVIENDA",1,5430.36,0.0,99.9623,8528,sample_1000
DISPARO DE ARMA CORTA: LUGAR NO ESPECIFICADO,1,21900.0,0.0,99.9623,9158,sample_1000
"HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ÓRGANOS GENITALES FEMENINOS, NIVEL ANORMAL DE HORMONAS",1,8735.78,0.0,99.9623,8826,sample_1000
OTROS TRASTORNOS FÓBICOS DE ANSIEDAD,1,2500.0,0.0,99.9623,8979,sample_1000
